TF neve;Vastagbélben interakciók;Összes ismert int.
CTCF;1939;19771
AR;160;18826
MYC;1250;18767
RUNX1;40;18652
FOXA1;2714;18599
FOXA2;2817;18493
SMARCA4;326;18486
GATA2;512;18293
MAX;628;18128
SP1;3202;17644
YY1;699;17606
TP53;55;17584
CEBPB;788;17540
CREB1;2868;17406
FLI1;1131;17401
SPI1;6315;17343
JUN;856;17331
TAL1;55;17131
TRIM28;38;17099
TCF12;8874;17089
POU5F1;452;17084
HIF1A;215;17032
E2F1;670;16860
CEBPA;2208;16847
ELF1;6106;16761
MYCN;1073;16717
ETS1;3998;16483
GABPA;6645;16388
STAT3;1018;16370
TFAP2C;9098;16344
MAZ;3741;16320
JUND;2887;16277
TBP;410;16262
TP63;256;16248
NFYA;2184;16240
EGR1;9307;16207
FOXP1;2134;16162
KLF4;7169;16084
FOS;1524;15982
ZNF263;5375;15740
STAT1;523;15710
GATA1;1731;15624
HSF1;94;15600
GATA3;236;15522
E2F6;6858;15518
MITF;2109;15412
HNF4A;3028;15406
USF1;3274;15386
TEAD4;3073;15364
RBPJ;818;15235
NFKB1;4236;14993
MYB;233;14945
RARA;2892;14880
ZEB1;2705;14763
NEUROD1;30;14707
ZBTB7A;4632;14567
GATA4;1547;14531
NR2F2;139;14496
TFAP2A;3075;14486
NRF1;2682;14433
KLF5;3930;14391
TCF3;4476;14355
SRF;201;14218
RUNX2;15;14176
USF2;3139;14069
CTCFL;4264;14034
TCF7L2;258;14019
CREM;2690;13939
E2F4;1849;13923
OTX2;1639;13875
MYOD1;3413;13864
ELF3;4773;13819
MXI1;3196;13809
PAX5;308;13765
SP2;1103;13714
KLF9;6212;13685
GATA6;1217;13668
POU2F2;140;13611
TEAD1;2972;13476
IKZF1;1041;13446
IRF1;155;13336
EBF1;3460;13001
SOX2;1841;12874
VDR;8;12622
ZBTB33;458;12462
FOSL2;198;12282
ETV5;5769;12245
TCF4;3445;12196
ATF2;1691;12145
NFE2L1;89;12113
SNAI2;3217;11934
SREBF2;18;11900
CEBPD;1076;11830
RELB;379;11828
ZBTB26;250;11810
JUNB;1762;11702
CDX2;836;11699
ZKSCAN1;233;11291
GRHL2;1664;11265
NFIC;663;11238
ESRRA;1323;11177
ZNF384;1088;11057
ETV1;5460;10929
MAFK;2358;10613
THAP11;259;10501
PKNOX1;3046;10449
RUNX3;2399;10232
ASCL1;2819;10203
RFX5;683;10148
PBX3;1024;9921
KLF15;5071;9848
ETV4;1587;9820
HOXB13;1245;9799
ZNF341;2791;9649
MAFF;1214;9569
TFDP1;989;9087
FOXK2;1408;8946
FOXP2;82;8921
ZBTB14;2290;8785
BATF;1080;8756
NR4A1;982;8685
NFYC;3199;8671
RFX1;2140;8576
NR2C2;207;8356
PRDM14;121;8227
TWIST1;1779;8174
NFIL3;1209;8020
NFYB;3207;7796
MEIS2;537;7759
CEBPG;1425;7746
BACH1;808;7745
SOX13;301;7726
THAP1;101;7437
EBF3;2610;7266
FOXA3;1603;7127
SREBF1;645;7041
ELK4;1854;6781
NEUROG2;1381;6604
ZNF24;180;6585
HNF4G;1386;6556
ZFP42;518;6490
FOSL1;1492;6488
EHF;3195;6442
PRDM1;2295;5927
SCRT1;1547;5589
MEF2A;532;5393
YY2;2297;5241
SPIB;1615;5230
ZBTB6;626;5070
OSR2;2100;4951
ZNF652;914;4834
MEIS1;305;4807
FOXK1;314;4544
ZNF449;1284;4364
HAND2;1198;4349
PHOX2B;188;4085
TCF7;559;4025
SIX2;175;4021
ATF4;643;3923
PBX2;1530;3853
MYF5;350;3851
ESR2;217;3756
BATF3;146;3536
DUX4;69;3324
MAFG;489;3309
RFX2;835;3266
BACH2;138;2961
HLF;959;2949
ZNF148;2807;2846
RFX3;1448;2740
SCRT2;1700;2702
ONECUT1;581;2590
MEF2C;75;2499
FOXH1;173;2492
NFIB;508;2470
ZNF317;166;2398
ZNF382;12;2350
MZF1;846;2057
MYOG;267;2018
TEAD2;56;1845
LHX2;69;1741
ZBTB12;880;1599
BHLHE22;650;1332
ZNF140;48;1049
PRDM4;793;1010
ZNF528;16;1006
SIX1;37;657
ZNF16;25;593
NR1H4;27;510
ZNF136;2;407
SOX10;31;387
POU2F3;701;357
ZNF135;20;159
szum;322059;2026484
átlag;1668,699482;10499,9171
